KODE,NAMA PROVINSI,BAHASA INDONESIA,BAHASA INGGRIS,MATEMATIKA,EKONOMI,SOSIOLOGI,GEOGRAFI,RERATA NILAI,Tahun,Status
17,SULAWESI UTARA,-7.509999999999998,-13.589999999999996,-11.479999999999997,-3.299999999999997,-7.439999999999998,0.15000000000000568,-7.200000000000003,2015-2016,S
18,SULAWESI TENGAH,-6.25,-7.490000000000002,-0.11999999999999744,2.3700000000000045,-0.8699999999999974,4.170000000000002,-1.3699999999999974,2015-2016,S
19,SULAWESI SELATAN,-13.07,-19.1,-14.649999999999999,-13.39,-2.529999999999994,-2.3200000000000003,-10.840000000000003,2015-2016,S
20,SULAWESI TENGGARA,-7.829999999999998,-14.0,-8.660000000000004,-6.339999999999996,-8.649999999999999,-0.4099999999999966,-7.649999999999999,2015-2016,S
21,MALUKU,1.3100000000000023,-6.0,2.1999999999999957,1.4600000000000009,-9.82,8.46,-0.3999999999999986,2015-2016,S
22,BALI,-12.769999999999996,-33.35,-26.049999999999997,-20.29,-17.999999999999993,-11.449999999999996,-20.319999999999993,2015-2016,S
23,NUSA TENGGARA BARAT,-2.0600000000000023,-5.329999999999998,2.539999999999999,4.8799999999999955,0.7899999999999991,1.5700000000000003,0.3999999999999986,2015-2016,S
24,NUSA TENGGARA TIMUR,-5.640000000000001,-9.680000000000003,-2.039999999999999,2.200000000000003,-3.469999999999999,4.769999999999996,-2.3100000000000023,2015-2016,S
25,PAPUA,-1.9299999999999997,-9.670000000000002,-10.570000000000004,-7.950000000000003,-13.669999999999995,1.0799999999999983,-7.109999999999999,2015-2016,S
26,BENGKULU,-1.9400000000000048,-11.700000000000003,-4.319999999999997,2.0700000000000003,3.240000000000002,7.840000000000003,-0.7999999999999972,2015-2016,S
27,MALUKU UTARA,-2.5700000000000003,-9.57,-10.030000000000001,-4.340000000000003,-14.550000000000004,3.4399999999999977,-6.270000000000003,2015-2016,S
28,BANGKA BELITUNG,-6.670000000000002,-3.3100000000000023,-0.3200000000000003,3.4399999999999977,-1.2700000000000031,7.410000000000004,-0.11999999999999744,2015-2016,S
29,GORONTALO,-3.270000000000003,-17.240000000000002,-8.989999999999995,-7.93,-4.649999999999999,0.5500000000000043,-6.920000000000002,2015-2016,S
30,BANTEN,-8.93,-7.579999999999998,-5.220000000000006,3.0500000000000043,-3.6199999999999974,1.5700000000000003,-3.450000000000003,2015-2016,S
31,KEPULAUAN RIAU,-8.329999999999998,-9.25,-4.530000000000001,4.109999999999999,-5.350000000000001,8.57,-2.460000000000001,2015-2016,S
32,SULAWESI BARAT,-12.399999999999999,-12.329999999999998,-11.43,-5.07,-13.659999999999997,-7.299999999999997,-10.36,2015-2016,S
33,PAPUA BARAT,-3.5,-8.43,-4.189999999999998,-4.939999999999998,-16.33,3.3299999999999983,-5.68,2015-2016,S
34,KALIMANTAN UTARA,-4.399999999999999,-9.030000000000001,-1.9000000000000021,3.0799999999999983,-3.8699999999999974,4.390000000000001,-1.9599999999999937,2015-2016,S
1,DKI JAKARTA,-1.8100000000000023,-12.480000000000004,-6.789999999999999,0.010000000000005116,-3.989999999999995,-0.9799999999999969,-5.57,2015-2017,S
2,JAWA BARAT,-6.980000000000004,-13.690000000000005,-17.119999999999997,-2.3999999999999986,4.399999999999999,-5.689999999999998,-7.460000000000001,2015-2017,S
3,JAWA TENGAH,-3.569999999999993,-12.170000000000002,-5.270000000000003,-0.23999999999999488,0.4899999999999949,8.329999999999998,-4.079999999999998,2015-2017,S
4,DI YOGYAKARTA,-3.069999999999993,-4.869999999999997,2.3500000000000014,17.089999999999996,9.11,9.860000000000007,3.219999999999999,2015-2017,S
5,JAWA TIMUR,-8.589999999999996,-24.480000000000004,-22.54,-8.89,-13.160000000000004,-1.3399999999999963,-14.18,2015-2017,S
6,ACEH,-12.169999999999995,-24.660000000000004,-27.310000000000002,-18.25,-13.219999999999999,-16.68,-18.0,2015-2017,S
7,SUMATERA UTARA,-17.04,-20.810000000000002,-22.89999999999999,-16.21,-8.47999999999999,-5.899999999999999,-15.019999999999996,2015-2017,S
8,SUMATERA BARAT,-8.189999999999998,-2.8999999999999986,-22.879999999999995,-7.730000000000004,-2.3400000000000034,3.549999999999997,-6.960000000000001,2015-2017,S
9,RIAU,-5.919999999999995,-16.57,-13.240000000000002,-5.969999999999999,-3.5899999999999963,-0.8900000000000006,-7.649999999999999,2015-2017,S
10,JAMBI,-8.329999999999998,-10.990000000000002,-10.689999999999998,-4.479999999999997,-5.609999999999999,-10.39,-8.059999999999995,2015-2017,S
11,SUMATERA SELATAN,-15.029999999999994,-26.400000000000006,-34.98,-15.690000000000005,-14.580000000000005,-17.009999999999998,-21.42,2015-2017,S
12,LAMPUNG,-8.81000000000001,-16.93,-15.64,-2.6600000000000037,3.0700000000000003,-3.6700000000000017,-8.159999999999997,2015-2017,S
13,KALIMANTAN BARAT,-11.630000000000003,-27.990000000000002,-22.25,-8.440000000000005,-10.649999999999999,-9.839999999999996,-16.129999999999995,2015-2017,S
14,KALIMANTAN TENGAH,-9.249999999999993,-7.140000000000001,-6.030000000000001,7.349999999999994,0.9200000000000017,0.3399999999999963,-2.9199999999999946,2015-2017,S
