KODE,NAMA PROVINSI,BAHASA INDONESIA,BAHASA INGGRIS,MATEMATIKA,FISIKA,KIMIA,BIOLOGI,RERATA NILAI,Tahun,Status
29,GORONTALO,0.1600000000000037,-17.0,-9.25,-1.75,15.43,-17.159999999999997,-6.200000000000003,2015-2017,S
30,BANTEN,-4.25,-13.030000000000001,-13.520000000000003,-6.729999999999997,-2.759999999999998,-14.149999999999999,-9.149999999999999,2015-2017,S
31,KEPULAUAN RIAU,-2.8499999999999943,-0.23000000000000398,6.6200000000000045,-0.7299999999999969,3.0700000000000003,-2.3100000000000023,2.6099999999999994,2015-2017,S
32,SULAWESI BARAT,-5.719999999999999,-10.129999999999995,-10.32,2.799999999999997,16.240000000000002,-11.190000000000005,-6.490000000000002,2015-2017,S
33,PAPUA BARAT,-12.129999999999995,-3.259999999999998,-14.75,-6.479999999999997,-4.990000000000002,-11.549999999999997,-9.14,2015-2017,S
34,KALIMANTAN UTARA,-2.719999999999999,-8.129999999999995,1.5,5.459999999999997,8.259999999999998,7.07,3.460000000000001,2015-2017,S
1,DKI JAKARTA,-3.7299999999999898,-4.769999999999996,-13.600000000000001,-21.940000000000005,-8.170000000000002,-10.079999999999998,-8.570000000000007,2015-2018,S
2,JAWA BARAT,-8.120000000000005,-8.799999999999997,-18.950000000000003,-20.4,-7.710000000000001,-16.11,-12.240000000000002,2015-2018,S
3,JAWA TENGAH,-4.049999999999997,-4.140000000000001,-6.809999999999995,-8.340000000000003,5.719999999999999,-3.559999999999995,-2.219999999999999,2015-2018,S
4,DI YOGYAKARTA,-4.609999999999999,1.7000000000000028,-3.700000000000003,-8.75,4.550000000000004,-2.8500000000000014,0.39000000000000057,2015-2018,S
5,JAWA TIMUR,-5.590000000000003,-16.340000000000003,-26.25,-24.0,-5.350000000000001,-15.240000000000002,-14.259999999999998,2015-2018,S
6,ACEH,-13.420000000000002,-29.78000000000001,-35.28999999999999,-32.46,-26.070000000000007,-28.950000000000003,-26.979999999999997,2015-2018,S
7,SUMATERA UTARA,-21.949999999999996,-28.699999999999996,-40.300000000000004,-38.01,-29.510000000000005,-30.779999999999994,-31.590000000000003,2015-2018,S
8,SUMATERA BARAT,-7.260000000000005,-2.1499999999999986,-18.83,-34.38,-15.979999999999997,-17.4,-14.530000000000001,2015-2018,S
9,RIAU,-8.060000000000002,-11.920000000000002,-22.270000000000003,-19.269999999999996,-12.409999999999997,-16.809999999999995,-14.480000000000004,2015-2018,S
10,JAMBI,-9.320000000000007,-14.380000000000003,-20.259999999999998,-9.189999999999998,-5.18,-17.119999999999997,-12.880000000000003,2015-2018,S
11,SUMATERA SELATAN,-14.639999999999993,-19.909999999999997,-36.620000000000005,-34.730000000000004,-17.789999999999992,-22.11,-24.059999999999995,2015-2018,S
12,LAMPUNG,-9.020000000000003,-15.43,-18.779999999999998,-10.980000000000004,-5.880000000000003,-18.259999999999998,-11.559999999999995,2015-2018,S
13,KALIMANTAN BARAT,-8.810000000000002,-15.409999999999997,-17.299999999999997,-9.29,-7.210000000000001,-10.469999999999999,-10.520000000000003,2015-2018,S
14,KALIMANTAN TENGAH,-9.380000000000003,-6.590000000000003,-4.060000000000002,-1.0399999999999991,0.6400000000000006,-2.4099999999999966,-1.7899999999999991,2015-2018,S
15,KALIMANTAN SELATAN,-1.4500000000000028,-9.380000000000003,-27.049999999999997,-23.490000000000002,0.7199999999999989,-6.969999999999999,-9.189999999999998,2015-2018,S
16,KALIMANTAN TIMUR,-2.069999999999993,-3.3000000000000043,-7.770000000000003,-8.96,2.3300000000000054,-2.1200000000000045,-1.6799999999999997,2015-2018,S
17,SULAWESI UTARA,-8.589999999999996,-19.33,-30.949999999999996,-27.250000000000007,-8.799999999999997,-20.619999999999997,-18.67,2015-2018,S
18,SULAWESI TENGAH,-1.4299999999999997,-8.11,-8.059999999999999,-9.689999999999998,16.25,-0.8999999999999986,-1.5499999999999972,2015-2018,S
19,SULAWESI SELATAN,-12.579999999999998,-22.000000000000007,-35.75,-38.21,-0.3999999999999986,-35.709999999999994,-24.559999999999995,2015-2018,S
20,SULAWESI TENGGARA,-5.859999999999999,-20.370000000000005,-26.859999999999992,-24.500000000000007,-1.6499999999999986,-18.96,-16.42,2015-2018,S
21,MALUKU,-1.1000000000000014,-0.45999999999999375,0.28000000000000114,-5.780000000000001,13.380000000000003,1.1299999999999955,1.6799999999999997,2015-2018,S
22,BALI,-8.89,-20.43,-36.46000000000001,-37.97999999999999,-23.990000000000002,-25.17000000000001,-23.410000000000004,2015-2018,S
