KODE,NAMA PROVINSI,BAHASA INDONESIA,BAHASA INGGRIS,MATEMATIKA,EKONOMI,SOSIOLOGI,GEOGRAFI,RERATA NILAI,Tahun,Status
13,KALIMANTAN BARAT,-11.489999999999995,-29.47,-24.0,-9.660000000000004,-11.090000000000003,-9.489999999999995,-17.14,2015-2017,NS
14,KALIMANTAN TENGAH,-8.709999999999994,-9.910000000000004,-6.969999999999999,3.8500000000000014,2.1000000000000014,-1.1400000000000006,-4.149999999999999,2015-2017,NS
15,KALIMANTAN SELATAN,-3.4799999999999898,-18.72,-15.240000000000002,-4.890000000000001,-5.670000000000002,5.950000000000003,-8.019999999999996,2015-2017,NS
16,KALIMANTAN TIMUR,-4.57,-6.899999999999999,-11.5,2.1700000000000017,-2.019999999999996,7.059999999999995,-3.5,2015-2017,NS
17,SULAWESI UTARA,-10.559999999999995,-20.400000000000006,-27.369999999999997,-13.270000000000003,-9.019999999999996,-2.719999999999999,-14.29,2015-2017,NS
18,SULAWESI TENGAH,-3.519999999999996,-8.920000000000002,-5.940000000000001,0.07000000000000028,-0.03999999999999915,6.020000000000003,-2.460000000000001,2015-2017,NS
19,SULAWESI SELATAN,-12.350000000000001,-18.190000000000005,-31.189999999999998,-17.71,-2.480000000000004,-3.1700000000000017,-14.649999999999999,2015-2017,NS
20,SULAWESI TENGGARA,-4.710000000000001,-3.0900000000000034,-5.669999999999995,-7.259999999999998,-3.8200000000000003,5.460000000000001,-2.6599999999999966,2015-2017,NS
21,MALUKU,-6.220000000000006,-0.3500000000000014,-2.8399999999999963,8.049999999999997,-5.020000000000003,10.660000000000004,-0.23999999999999488,2015-2017,NS
22,BALI,-9.870000000000005,-31.770000000000003,-39.43,-21.39,-18.040000000000006,-14.469999999999999,-23.1,2015-2017,NS
23,NUSA TENGGARA BARAT,-6.329999999999998,-10.700000000000003,-14.459999999999997,-5.269999999999996,-2.3700000000000045,0.4899999999999949,-7.390000000000001,2015-2017,NS
24,NUSA TENGGARA TIMUR,-4.299999999999997,-6.940000000000005,-2.0299999999999976,7.0,-0.8999999999999986,9.079999999999998,-0.7899999999999991,2015-2017,NS
25,PAPUA,-6.109999999999999,-6.229999999999997,-6.219999999999999,-0.7999999999999972,-5.960000000000001,5.490000000000002,-3.6000000000000014,2015-2017,NS
26,BENGKULU,-1.8200000000000003,-19.270000000000003,-3.1499999999999986,9.229999999999997,9.18,7.800000000000004,-1.2000000000000028,2015-2017,NS
27,MALUKU UTARA,-12.21,-8.150000000000006,-18.940000000000005,-4.200000000000003,-10.14,0.7399999999999949,-9.340000000000003,2015-2017,NS
28,BANGKA BELITUNG,-2.8599999999999994,-8.560000000000002,2.1300000000000026,15.79,8.25,11.590000000000003,2.4399999999999977,2015-2017,NS
29,GORONTALO,-8.740000000000002,-23.689999999999998,-13.219999999999999,-9.68,-6.82,2.3700000000000045,-11.11,2015-2017,NS
30,BANTEN,-7.549999999999997,-17.200000000000003,-14.100000000000001,2.0,0.35999999999999943,-3.950000000000003,-7.780000000000001,2015-2017,NS
31,KEPULAUAN RIAU,-5.810000000000002,-7.939999999999998,-0.7299999999999969,10.939999999999998,4.660000000000004,2.8400000000000034,0.11999999999999744,2015-2017,NS
32,SULAWESI BARAT,-12.32,-15.879999999999995,-19.410000000000004,-11.11,-13.420000000000002,-7.82,-13.469999999999999,2015-2017,NS
33,PAPUA BARAT,-14.049999999999997,-8.79,-13.909999999999997,-4.93,-11.299999999999997,-1.9699999999999989,-9.729999999999997,2015-2017,NS
34,KALIMANTAN UTARA,-2.3200000000000003,-8.64,-0.10999999999999943,9.920000000000002,1.9100000000000037,9.5,0.5,2015-2017,NS
1,DKI JAKARTA,-1.3200000000000074,-7.280000000000001,-11.719999999999999,-6.609999999999999,-4.810000000000009,0.4300000000000068,-6.239999999999995,2015-2018,NS
2,JAWA BARAT,-8.969999999999999,-13.0,-26.4,-6.32,0.7000000000000028,-5.960000000000001,-11.060000000000002,2015-2018,NS
3,JAWA TENGAH,-3.299999999999997,-6.439999999999998,-11.82,-5.039999999999999,-3.3999999999999986,10.090000000000003,-4.900000000000006,2015-2018,NS
4,DI YOGYAKARTA,-3.75,-0.8999999999999986,-8.060000000000002,10.79,4.909999999999997,9.419999999999995,0.6400000000000006,2015-2018,NS
5,JAWA TIMUR,-7.660000000000004,-22.18,-29.29,-10.719999999999999,-15.769999999999996,-0.38000000000000256,-15.57,2015-2018,NS
