KODE,NAMA PROVINSI,BAHASA INDONESIA,BAHASA INGGRIS,MATEMATIKA,FISIKA,KIMIA,BIOLOGI,RERATA NILAI,Tahun,Status
18,SULAWESI TENGAH,-6.640000000000008,-12.21,-6.799999999999997,-2.6300000000000026,2.3900000000000006,-2.479999999999997,-4.730000000000004,2015-2016,N
19,SULAWESI SELATAN,-13.509999999999998,-14.010000000000005,-6.710000000000008,-14.730000000000004,0.8800000000000026,-16.089999999999996,-10.689999999999998,2015-2016,N
20,SULAWESI TENGGARA,-8.619999999999997,-15.420000000000002,-14.240000000000002,-5.429999999999993,-8.119999999999997,-6.619999999999997,-9.740000000000002,2015-2016,N
21,MALUKU,-2.839999999999989,-8.910000000000004,-1.8800000000000026,-5.469999999999999,2.059999999999995,-1.1300000000000026,-3.030000000000001,2015-2016,N
22,BALI,-12.799999999999997,-23.370000000000005,-21.730000000000004,-18.260000000000005,-15.329999999999998,-14.030000000000001,-17.590000000000003,2015-2016,N
23,NUSA TENGGARA BARAT,-5.640000000000001,-14.559999999999995,-15.170000000000002,-19.729999999999997,-11.5,-7.310000000000002,-12.32,2015-2016,N
24,NUSA TENGGARA TIMUR,-7.659999999999997,-12.899999999999999,-5.75,-7.890000000000001,1.5200000000000031,-1.0799999999999983,-5.619999999999997,2015-2016,N
25,PAPUA,-4.280000000000001,-10.700000000000003,-6.689999999999998,-7.850000000000001,-6.140000000000001,-5.25,-6.82,2015-2016,N
26,BENGKULU,-4.799999999999997,-12.060000000000002,-0.39000000000000057,-20.599999999999994,-4.169999999999995,-12.57,-9.099999999999994,2015-2016,N
27,MALUKU UTARA,-7.380000000000003,-10.29,-12.369999999999997,-7.57,-4.609999999999999,-4.229999999999997,-7.75,2015-2016,N
28,BANGKA BELITUNG,-8.200000000000003,-9.14,0.3499999999999943,-6.579999999999998,-3.979999999999997,0.10000000000000142,-4.580000000000005,2015-2016,N
29,GORONTALO,-8.659999999999997,-22.189999999999998,-13.689999999999998,-18.72,-6.440000000000005,-6.019999999999996,-12.619999999999997,2015-2016,N
30,BANTEN,-7.47999999999999,-12.18,-6.170000000000002,-14.89,-9.450000000000003,-3.969999999999999,-9.030000000000001,2015-2016,N
31,KEPULAUAN RIAU,-8.009999999999991,-8.489999999999995,3.030000000000001,-9.170000000000002,-2.760000000000005,-2.759999999999998,-4.690000000000005,2015-2016,N
32,SULAWESI BARAT,-9.079999999999998,-15.189999999999998,-11.800000000000004,-13.240000000000002,-7.229999999999997,-8.86,-10.899999999999999,2015-2016,N
33,PAPUA BARAT,-9.710000000000008,-13.440000000000005,-16.21,-14.689999999999998,-13.25,-14.479999999999997,-13.630000000000003,2015-2016,N
34,KALIMANTAN UTARA,-6.530000000000001,-9.350000000000001,2.4099999999999966,-4.710000000000001,1.1299999999999955,4.100000000000001,-2.1599999999999966,2015-2016,N
1,DKI JAKARTA,-0.36999999999999034,-5.77000000000001,-11.860000000000007,-22.549999999999997,-10.11,-9.099999999999994,-8.11,2015-2017,N
2,JAWA BARAT,-3.8299999999999983,-11.799999999999997,-15.229999999999997,-22.03,-7.960000000000001,-15.529999999999994,-11.689999999999998,2015-2017,N
3,JAWA TENGAH,-0.9200000000000017,-7.200000000000003,-5.240000000000002,-8.219999999999999,3.210000000000001,-3.710000000000001,-2.8399999999999963,2015-2017,N
4,DI YOGYAKARTA,-1.2199999999999989,-2.8100000000000023,-0.1700000000000017,-5.309999999999995,0.8300000000000054,-3.3999999999999986,-0.6400000000000006,2015-2017,N
5,JAWA TIMUR,-2.239999999999995,-18.860000000000007,-24.32,-24.07999999999999,-4.680000000000007,-13.880000000000003,-13.840000000000003,2015-2017,N
6,ACEH,-15.129999999999995,-32.010000000000005,-32.04,-34.55,-29.890000000000008,-29.950000000000003,-27.74000000000001,2015-2017,N
7,SUMATERA UTARA,-13.850000000000009,-20.049999999999997,-22.289999999999992,-27.61,-25.010000000000005,-16.730000000000004,-19.410000000000004,2015-2017,N
8,SUMATERA BARAT,-4.159999999999997,-0.00999999999999801,-5.640000000000001,-19.060000000000002,-12.419999999999995,-12.970000000000006,-8.079999999999998,2015-2017,N
