KODE,NAMA PROVINSI,BAHASA INDONESIA,BAHASA INGGRIS,MATEMATIKA,EKONOMI,SOSIOLOGI,GEOGRAFI,RERATA NILAI,Tahun,Status
32,SULAWESI BARAT,-13.219999999999999,-16.239999999999995,-15.350000000000001,-12.200000000000003,-14.879999999999995,-6.339999999999996,-13.04,2015-2016,N
33,PAPUA BARAT,-7.510000000000005,-13.36,-12.07,-8.93,-16.43,0.5500000000000043,-9.619999999999997,2015-2016,N
34,KALIMANTAN UTARA,-7.25,-8.07,-1.9499999999999957,3.030000000000001,-4.420000000000002,5.770000000000003,-2.1499999999999986,2015-2016,N
1,DKI JAKARTA,2.0400000000000063,-10.550000000000004,-1.5899999999999963,-2.3200000000000074,-0.3199999999999932,0.5499999999999972,-3.180000000000007,2015-2017,N
2,JAWA BARAT,-6.809999999999995,-16.47,-21.33,-3.1699999999999946,5.539999999999999,-5.279999999999994,-9.43,2015-2017,N
3,JAWA TENGAH,-3.240000000000009,-11.350000000000001,-7.710000000000001,-0.5799999999999983,-1.019999999999996,9.060000000000002,-4.549999999999997,2015-2017,N
4,DI YOGYAKARTA,-3.260000000000005,-7.599999999999994,-1.5300000000000011,15.659999999999997,7.270000000000003,8.940000000000005,1.3800000000000026,2015-2017,N
5,JAWA TIMUR,-5.030000000000001,-27.43,-25.909999999999997,-5.309999999999995,-10.209999999999994,0.9600000000000009,-14.290000000000006,2015-2017,N
6,ACEH,-18.049999999999997,-32.919999999999995,-33.63,-16.090000000000003,-13.36,-19.080000000000005,-22.75,2015-2017,N
7,SUMATERA UTARA,-16.060000000000002,-21.189999999999998,-22.15,-13.089999999999996,-8.350000000000001,-6.189999999999998,-14.71,2015-2017,N
8,SUMATERA BARAT,-7.810000000000002,-3.8400000000000034,-24.93999999999999,-8.600000000000001,-3.5,4.049999999999997,-7.68,2015-2017,N
9,RIAU,-8.32,-25.83,-25.300000000000004,-12.920000000000002,-7.300000000000004,-3.0900000000000034,-14.57,2015-2017,N
10,JAMBI,-8.949999999999996,-18.509999999999998,-16.369999999999997,-4.760000000000005,-5.5,-6.799999999999997,-11.240000000000002,2015-2017,N
11,SUMATERA SELATAN,-15.189999999999998,-26.770000000000003,-32.93,-16.08,-11.79,-15.600000000000001,-20.729999999999997,2015-2017,N
12,LAMPUNG,-7.480000000000004,-20.75,-20.309999999999995,-2.5899999999999963,5.559999999999995,-3.739999999999995,-9.54,2015-2017,N
13,KALIMANTAN BARAT,-11.530000000000001,-30.42,-25.1,-10.54,-11.420000000000002,-9.75,-17.83,2015-2017,N
14,KALIMANTAN TENGAH,-8.550000000000004,-10.780000000000001,-7.259999999999998,2.5600000000000023,2.4499999999999957,-1.6700000000000017,-4.549999999999997,2015-2017,N
