KODE,NAMA PROVINSI,BAHASA INDONESIA,BAHASA INGGRIS,MATEMATIKA,FISIKA,KIMIA,BIOLOGI,RERATA NILAI,Tahun,Status
15,KALIMANTAN SELATAN,-6.6499999999999915,-18.65,-19.150000000000006,-20.49000000000001,-5.509999999999998,-4.18,-12.439999999999998,2015-2016,NS
16,KALIMANTAN TIMUR,-7.579999999999998,-13.20000000000001,-5.149999999999999,-14.800000000000004,-4.020000000000003,1.0700000000000003,-7.280000000000001,2015-2016,NS
17,SULAWESI UTARA,-9.280000000000001,-15.909999999999997,-10.199999999999996,-14.570000000000007,-5.710000000000001,-8.869999999999997,-10.759999999999998,2015-2016,NS
18,SULAWESI TENGAH,-6.229999999999997,-11.75,-6.289999999999999,-2.780000000000001,2.770000000000003,-1.9600000000000009,-4.369999999999997,2015-2016,NS
19,SULAWESI SELATAN,-13.379999999999995,-14.420000000000002,-6.279999999999994,-16.130000000000003,1.1300000000000026,-16.340000000000003,-10.899999999999999,2015-2016,NS
20,SULAWESI TENGGARA,-8.410000000000004,-15.190000000000005,-14.530000000000001,-5.189999999999998,-7.210000000000001,-6.849999999999994,-9.560000000000002,2015-2016,NS
21,MALUKU,-2.1599999999999966,-8.409999999999997,-1.1799999999999997,-4.57,2.450000000000003,-0.7800000000000011,-2.4499999999999957,2015-2016,NS
22,BALI,-12.480000000000004,-23.279999999999994,-21.569999999999993,-18.549999999999997,-15.280000000000001,-14.689999999999998,-17.64,2015-2016,NS
23,NUSA TENGGARA BARAT,-5.420000000000002,-13.29,-13.86,-17.61,-11.020000000000003,-6.039999999999999,-11.200000000000003,2015-2016,NS
24,NUSA TENGGARA TIMUR,-7.030000000000001,-12.310000000000002,-4.469999999999999,-7.699999999999996,1.759999999999998,-0.5300000000000011,-5.050000000000004,2015-2016,NS
25,PAPUA,-3.760000000000005,-9.739999999999995,-6.079999999999998,-7.310000000000002,-5.559999999999995,-3.8999999999999986,-6.049999999999997,2015-2016,NS
26,BENGKULU,-4.799999999999997,-12.43,-0.5499999999999972,-20.47,-4.520000000000003,-12.82,-9.259999999999998,2015-2016,NS
27,MALUKU UTARA,-6.109999999999992,-10.310000000000002,-10.89,-6.759999999999998,-2.8900000000000006,-3.260000000000005,-6.699999999999996,2015-2016,NS
28,BANGKA BELITUNG,-7.700000000000003,-8.330000000000005,0.9199999999999946,-5.519999999999996,-2.8200000000000003,0.8900000000000006,-3.759999999999998,2015-2016,NS
29,GORONTALO,-8.150000000000006,-22.089999999999996,-13.21,-18.299999999999997,-5.440000000000005,-7.030000000000001,-12.369999999999997,2015-2016,NS
30,BANTEN,-7.289999999999992,-11.309999999999995,-5.789999999999999,-13.980000000000004,-8.910000000000004,-4.68,-8.660000000000004,2015-2016,NS
31,KEPULAUAN RIAU,-7.650000000000006,-8.310000000000002,3.210000000000001,-9.160000000000004,-2.1899999999999977,-2.9000000000000057,-4.5,2015-2016,NS
32,SULAWESI BARAT,-8.670000000000002,-14.809999999999995,-11.270000000000003,-12.439999999999998,-6.469999999999999,-8.409999999999997,-10.340000000000003,2015-2016,NS
33,PAPUA BARAT,-8.539999999999992,-11.630000000000003,-13.130000000000003,-11.549999999999997,-10.96,-11.899999999999999,-11.29,2015-2016,NS
34,KALIMANTAN UTARA,-6.349999999999994,-8.96,2.519999999999996,-4.009999999999998,1.4099999999999966,4.800000000000004,-1.769999999999996,2015-2016,NS
1,DKI JAKARTA,-1.039999999999992,-6.390000000000001,-11.609999999999992,-20.260000000000005,-9.21,-11.060000000000002,-8.170000000000002,2015-2017,NS
2,JAWA BARAT,-4.340000000000003,-11.75,-14.729999999999997,-19.879999999999995,-7.579999999999998,-15.600000000000001,-11.36,2015-2017,NS
3,JAWA TENGAH,-1.1000000000000085,-7.450000000000003,-4.93,-6.380000000000003,4.530000000000001,-3.969999999999999,-2.5,2015-2017,NS
4,DI YOGYAKARTA,-1.1899999999999977,-2.6199999999999974,0.11999999999999744,-4.280000000000001,3.450000000000003,-3.6199999999999974,0.09000000000000341,2015-2017,NS
5,JAWA TIMUR,-2.9200000000000017,-19.830000000000005,-24.11,-22.340000000000003,-3.8599999999999994,-15.360000000000007,-14.130000000000003,2015-2017,NS
6,ACEH,-14.550000000000004,-31.39,-31.290000000000006,-34.120000000000005,-29.809999999999995,-29.78,-27.169999999999995,2015-2017,NS
7,SUMATERA UTARA,-14.41000000000001,-20.049999999999997,-22.180000000000007,-26.700000000000003,-24.860000000000007,-17.239999999999995,-19.750000000000007,2015-2017,NS
8,SUMATERA BARAT,-4.3999999999999915,-0.030000000000001137,-5.93,-19.779999999999994,-12.71,-12.979999999999997,-8.290000000000006,2015-2017,NS
9,RIAU,-6.799999999999997,-19.689999999999998,-29.17,-33.099999999999994,-20.629999999999995,-22.840000000000003,-20.72,2015-2017,NS
10,JAMBI,-5.609999999999999,-15.189999999999998,-12.75,-7.939999999999998,-10.689999999999998,-14.030000000000001,-10.299999999999997,2015-2017,NS
11,SUMATERA SELATAN,-10.539999999999992,-24.039999999999992,-34.26,-33.730000000000004,-22.450000000000003,-23.159999999999997,-23.589999999999996,2015-2017,NS
12,LAMPUNG,-5.810000000000002,-16.53,-14.5,-8.25,-4.289999999999999,-16.549999999999997,-9.420000000000002,2015-2017,NS
13,KALIMANTAN BARAT,-8.050000000000011,-24.21,-19.520000000000003,-13.579999999999998,-14.089999999999996,-14.399999999999999,-14.349999999999994,2015-2017,NS
14,KALIMANTAN TENGAH,-6.969999999999999,-8.799999999999997,-4.760000000000005,-4.920000000000002,-0.030000000000001137,-3.6499999999999986,-3.3299999999999983,2015-2017,NS
15,KALIMANTAN SELATAN,-2.450000000000003,-16.730000000000004,-30.680000000000007,-26.49000000000001,-6.609999999999999,-15.870000000000005,-14.530000000000001,2015-2017,NS
16,KALIMANTAN TIMUR,-2.1200000000000045,-4.400000000000006,-8.880000000000003,-8.950000000000003,1.259999999999998,-5.359999999999999,-2.740000000000002,2015-2017,NS
17,SULAWESI UTARA,-8.009999999999998,-17.809999999999995,-29.199999999999996,-28.750000000000007,-14.0,-24.14,-18.879999999999995,2015-2017,NS
18,SULAWESI TENGAH,-1.980000000000004,-8.419999999999995,-9.380000000000003,-10.229999999999997,9.120000000000005,-6.710000000000001,-3.1999999999999957,2015-2017,NS
19,SULAWESI SELATAN,-11.819999999999993,-14.07,-28.249999999999993,-36.330000000000005,2.5700000000000003,-26.950000000000003,-18.479999999999997,2015-2017,NS
20,SULAWESI TENGGARA,-4.920000000000002,-1.230000000000004,-5.469999999999999,-10.259999999999998,9.509999999999998,-3.8999999999999915,-3.280000000000001,2015-2017,NS
21,MALUKU,-7.519999999999996,-0.6999999999999957,-1.7199999999999989,-7.719999999999999,6.439999999999998,-0.6400000000000006,-0.9699999999999989,2015-2017,NS
22,BALI,-9.190000000000012,-18.959999999999994,-35.3,-36.50000000000001,-22.86,-28.42,-23.359999999999992,2015-2017,NS
23,NUSA TENGGARA BARAT,-3.990000000000002,-12.559999999999995,-22.66,-18.830000000000005,-1.6300000000000026,-12.46,-11.340000000000003,2015-2017,NS
24,NUSA TENGGARA TIMUR,-5.829999999999998,-8.980000000000004,-5.82,-4.0,6.630000000000003,0.7999999999999972,-1.7199999999999989,2015-2017,NS
25,PAPUA,-7.530000000000008,-4.890000000000001,-7.390000000000001,-0.5700000000000003,-1.2899999999999991,-4.68,-3.6199999999999974,2015-2017,NS
26,BENGKULU,-1.9599999999999937,-19.060000000000002,-4.949999999999996,-22.83,3.009999999999998,-17.459999999999994,-9.64,2015-2017,NS
27,MALUKU UTARA,-11.019999999999996,-7.740000000000002,-16.36,-13.07,-7.490000000000002,-10.740000000000002,-9.629999999999995,2015-2017,NS
28,BANGKA BELITUNG,-0.9599999999999937,-7.0,3.309999999999995,5.579999999999998,8.379999999999995,3.039999999999999,2.8999999999999986,2015-2017,NS
29,GORONTALO,-4.859999999999999,-22.93999999999999,-18.259999999999998,-14.509999999999998,-3.190000000000005,-12.780000000000001,-11.79,2015-2017,NS
30,BANTEN,-3.1899999999999977,-13.519999999999996,-11.850000000000001,-9.899999999999999,-4.539999999999999,-11.410000000000004,-8.36,2015-2017,NS
31,KEPULAUAN RIAU,-3.720000000000013,-4.700000000000003,3.960000000000001,-3.510000000000005,1.0300000000000011,-5.8700000000000045,-0.37999999999999545,2015-2017,NS
32,SULAWESI BARAT,-5.390000000000001,-17.35,-19.580000000000002,-15.29,-1.1799999999999997,-13.530000000000001,-11.399999999999999,2015-2017,NS
33,PAPUA BARAT,-13.909999999999997,-9.740000000000002,-20.03,-14.71,-11.649999999999999,-18.299999999999997,-13.969999999999999,2015-2017,NS
34,KALIMANTAN UTARA,-1.2000000000000028,-9.200000000000003,1.1799999999999997,-0.9699999999999989,9.769999999999996,3.760000000000005,1.8900000000000006,2015-2017,NS
1,DKI JAKARTA,-3.230000000000004,-3.509999999999991,-14.199999999999996,-24.760000000000005,-10.409999999999997,-8.590000000000003,-8.789999999999992,2015-2018,NS
2,JAWA BARAT,-6.890000000000001,-7.869999999999997,-19.029999999999994,-24.959999999999994,-10.25,-15.980000000000004,-12.480000000000004,2015-2018,NS
3,JAWA TENGAH,-2.9399999999999977,-2.740000000000002,-6.789999999999999,-12.550000000000004,1.8599999999999994,-2.779999999999994,-2.530000000000001,2015-2018,NS
4,DI YOGYAKARTA,-3.6000000000000085,1.5300000000000011,-3.770000000000003,-10.739999999999995,0.5700000000000003,-2.4299999999999997,-0.8399999999999963,2015-2018,NS
5,JAWA TIMUR,-4.260000000000005,-14.370000000000005,-25.199999999999996,-26.85,-7.270000000000003,-13.430000000000007,-13.410000000000004,2015-2018,NS
6,ACEH,-16.450000000000003,-30.729999999999997,-37.81,-34.400000000000006,-29.169999999999995,-29.380000000000003,-29.009999999999998,2015-2018,NS
7,SUMATERA UTARA,-19.700000000000003,-26.909999999999997,-38.36000000000001,-38.38,-30.580000000000005,-27.369999999999997,-29.300000000000004,2015-2018,NS
8,SUMATERA BARAT,-6.059999999999988,-2.9200000000000017,-19.490000000000002,-31.82999999999999,-16.97,-16.099999999999994,-14.100000000000009,2015-2018,NS
9,RIAU,-9.659999999999997,-15.950000000000003,-30.64,-33.29,-20.299999999999997,-20.210000000000008,-20.369999999999997,2015-2018,NS
10,JAMBI,-7.8799999999999955,-13.71,-19.48,-14.899999999999999,-11.559999999999995,-14.199999999999996,-12.489999999999995,2015-2018,NS
11,SUMATERA SELATAN,-13.07,-20.059999999999995,-35.78,-35.230000000000004,-20.330000000000005,-20.71,-23.11,2015-2018,NS
12,LAMPUNG,-7.019999999999996,-13.480000000000004,-17.559999999999995,-10.71,-4.640000000000001,-16.57,-9.840000000000003,2015-2018,NS
13,KALIMANTAN BARAT,-9.370000000000005,-17.700000000000003,-19.88,-14.519999999999996,-12.189999999999998,-9.949999999999996,-12.329999999999998,2015-2018,NS
