,No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Fisika,Kimia,Biologi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
26000,296,104077,SMA NEGERI 28,20107319,N,178,87.04,84.46,83.44,78.77,82.13,82.6,0.0,1,4,77,2017,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN
27893,100,303001,SMA NEGERI 1 TEGAL,20329847,N,191,87.01,76.66,73.66,70.38,83.25,74.04,0.0,3,3,1,2017,JAWA TENGAH,KOTA TEGAL
38719,146,3004021,SMA SANTA URSULA BSD,20603376,S,64,87.0,86.69,90.59,80.37,91.79,86.74,0.0,30,4,21,2017,BANTEN,KOTA TANGERANG SELATAN
28101,308,312008,SMA NEGERI 1 MUNTILAN,20307712,N,184,87.0,74.39,71.13,61.12,79.38,73.58,0.0,3,12,8,2017,JAWA TENGAH,KABUPATEN MAGELANG
25719,15,101022,SMA KRISTEN 3 BPK PENABUR,20100187,S,77,86.99,84.36,86.69,79.34,86.25,80.0,0.0,1,1,22,2017,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
28126,333,313001,SMA NEGERI 1 PURWOREJO,20306202,N,217,86.98,77.17,78.78,72.54,82.99,75.95,0.0,3,13,1,2017,JAWA TENGAH,KABUPATEN PURWOREJO
28151,358,314004,SMA NEGERI 1 TEMANGGUNG,20321438,N,230,86.95,75.04,73.42,65.96,76.37,72.6,0.0,3,14,4,2017,JAWA TENGAH,KABUPATEN TEMANGGUNG
26398,227,203110,"SMA KRISTEN PENABUR SUMMARECON, KOTA BEKASI",69870886,S,35,86.91,80.69,68.64,62.08,74.64,71.39,0.0,2,3,110,2017,JAWA BARAT,KOTA BEKASI
32438,71,803004,SMA NEGERI 1 SUMATERA BARAT,10310903,N,51,86.86,79.25,73.04,79.75,76.04,73.42,0.0,8,3,4,2017,SUMATERA BARAT,KOTA PADANG PANJANG
25810,106,102078,SMA KRISTEN IPEKA SUNTER,20107383,S,58,86.86,84.86,87.5,74.48,87.37,79.0,0.0,1,2,78,2017,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA UTARA
