No,Kode,Kabupaten,JumlahSekolah,JumlahPeserta,Bindo,Bing,Math,Kompetensi,Rata,Tahun,KdProv,Provinsi_x,Provinsi_y,Provinsi
274.0, 1505,KABUPATEN BARITO KUALA,3,527,67.31,38.86,31.83,44.52,"45,63",2018,15,KALIMANTAN SELATAN,KALIMANTAN SELATAN,KALIMANTAN SELATAN
275.0, 1506,KABUPATEN TAPIN,3,666,62.71,34.67,29.63,38.48,"41,37",2018,15,KALIMANTAN SELATAN,KALIMANTAN SELATAN,KALIMANTAN SELATAN
276.0, 1507,KABUPATEN HULU SUNGAI SELATAN,4,677,65.84,38.31,33.39,45.54,"45,77",2018,15,KALIMANTAN SELATAN,KALIMANTAN SELATAN,KALIMANTAN SELATAN
277.0, 1508,KABUPATEN HULU SUNGAI TENGAH,9,748,62.87,36.48,31.56,39.37,"42,57",2018,15,KALIMANTAN SELATAN,KALIMANTAN SELATAN,KALIMANTAN SELATAN
278.0, 1509,KABUPATEN HULU SUNGAI UTARA,7,928,65.42,38.58,33.34,45.85,"45,80",2018,15,KALIMANTAN SELATAN,KALIMANTAN SELATAN,KALIMANTAN SELATAN
279.0, 1510,KABUPATEN TABALONG,10,1573,65.39,39.88,32.5,43.35,"45,28",2018,15,KALIMANTAN SELATAN,KALIMANTAN SELATAN,KALIMANTAN SELATAN
280.0, 1511,KABUPATEN TANAH LAUT,10,1231,67.79,40.06,35.61,45.28,"47,19",2018,15,KALIMANTAN SELATAN,KALIMANTAN SELATAN,KALIMANTAN SELATAN
281.0, 1512,KABUPATEN BALANGAN,3,440,66.64,38.56,37.79,42.31,"46,33",2018,15,KALIMANTAN SELATAN,KALIMANTAN SELATAN,KALIMANTAN SELATAN
282.0, 1513,KABUPATEN TANAH BUMBU,17,1951,66.59,39.46,34.69,47.67,"47,10",2018,15,KALIMANTAN SELATAN,KALIMANTAN SELATAN,KALIMANTAN SELATAN
270.0, 1501,KOTA BANJARMASIN,22,4231,68.45,46.0,34.62,45.25,"48,58",2019,15,KALIMANTAN SELATAN,KALIMANTAN SELATAN,KALIMANTAN SELATAN
271.0, 1502,KOTA BANJARBARU,14,1691,72.33,49.98,38.21,50.96,"52,87",2019,15,KALIMANTAN SELATAN,KALIMANTAN SELATAN,KALIMANTAN SELATAN
272.0, 1503,KABUPATEN KOTABARU,7,843,64.72,38.69,32.71,41.8,"44,48",2019,15,KALIMANTAN SELATAN,KALIMANTAN SELATAN,KALIMANTAN SELATAN
273.0, 1504,KABUPATEN BANJAR,11,1535,68.34,42.21,33.07,44.98,"47,15",2019,15,KALIMANTAN SELATAN,KALIMANTAN SELATAN,KALIMANTAN SELATAN
274.0, 1505,KABUPATEN BARITO KUALA,3,473,68.89,40.03,32.08,45.23,"46,56",2019,15,KALIMANTAN SELATAN,KALIMANTAN SELATAN,KALIMANTAN SELATAN
275.0, 1506,KABUPATEN TAPIN,3,649,64.85,38.57,30.94,41.27,"43,91",2019,15,KALIMANTAN SELATAN,KALIMANTAN SELATAN,KALIMANTAN SELATAN
276.0, 1507,KABUPATEN HULU SUNGAI SELATAN,4,653,67.49,41.12,33.51,44.36,"46,62",2019,15,KALIMANTAN SELATAN,KALIMANTAN SELATAN,KALIMANTAN SELATAN
277.0, 1508,KABUPATEN HULU SUNGAI TENGAH,9,819,64.19,39.5,31.77,39.83,"43,82",2019,15,KALIMANTAN SELATAN,KALIMANTAN SELATAN,KALIMANTAN SELATAN
278.0, 1509,KABUPATEN HULU SUNGAI UTARA,7,940,66.62,40.37,33.87,46.27,"46,78",2019,15,KALIMANTAN SELATAN,KALIMANTAN SELATAN,KALIMANTAN SELATAN
279.0, 1510,KABUPATEN TABALONG,10,1514,66.45,40.7,32.31,43.39,"45,71",2019,15,KALIMANTAN SELATAN,KALIMANTAN SELATAN,KALIMANTAN SELATAN
280.0, 1511,KABUPATEN TANAH LAUT,10,1331,68.5,42.06,34.7,44.9,"47,54",2019,15,KALIMANTAN SELATAN,KALIMANTAN SELATAN,KALIMANTAN SELATAN
281.0, 1512,KABUPATEN BALANGAN,3,484,66.98,39.86,34.26,44.06,"46,29",2019,15,KALIMANTAN SELATAN,KALIMANTAN SELATAN,KALIMANTAN SELATAN
282.0, 1513,KABUPATEN TANAH BUMBU,18,2076,66.88,41.05,33.2,44.67,"46,45",2019,15,KALIMANTAN SELATAN,KALIMANTAN SELATAN,KALIMANTAN SELATAN
565.0, 1601,KOTA SAMARINDA,53,6358,64.03,46.01,33.41,77.06,"55,13",2015,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
566.0, 1601,KOTA SAMARINDA,53,6358,84.79,84.45,84.18,85.08,"84,63",2015,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
567.0, 1602,KOTA BALIKPAPAN,26,3990,67.45,52.67,39.54,75.57,"58,81",2015,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
568.0, 1602,KOTA BALIKPAPAN,26,3990,82.04,79.69,79.8,81.28,"80,70",2015,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
569.0, 1603,KOTA BONTANG,12,1144,69.74,49.31,40.04,77.76,"59,21",2015,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
570.0, 1603,KOTA BONTANG,12,1144,81.88,78.87,78.61,81.61,"80,24",2015,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
571.0, 1604,KABUPATEN KUTAI KARTANEGARA,38,3306,62.71,52.57,45.85,78.93,"60,02",2015,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
572.0, 1604,KABUPATEN KUTAI KARTANEGARA,38,3306,85.34,83.64,83.76,85.56,"84,58",2015,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
573.0, 1605,KABUPATEN KUTAI TIMUR,21,1461,68.03,51.9,45.68,76.78,"60,60",2015,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
574.0, 1605,KABUPATEN KUTAI TIMUR,21,1461,81.9,80.34,80.01,80.16,"80,60",2015,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
575.0, 1606,KABUPATEN KUTAI BARAT,12,914,71.67,66.07,68.13,80.91,"71,70",2015,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
576.0, 1606,KABUPATEN KUTAI BARAT,12,914,85.18,83.63,83.42,85.6,"84,46",2015,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
577.0, 1607,KABUPATEN PASER,11,1079,65.48,41.79,33.97,78.56,"54,95",2015,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
578.0, 1607,KABUPATEN PASER,11,1079,83.38,80.2,81.83,83.88,"82,32",2015,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
579.0, 1608,KABUPATEN PENAJAM PASER UTARA,8,909,67.14,45.35,36.82,79.43,"57,19",2015,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
580.0, 1608,KABUPATEN PENAJAM PASER UTARA,8,909,85.26,83.91,83.56,85.44,"84,54",2015,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
581.0, 1609,KABUPATEN BERAU,12,833,70.39,55.1,53.59,78.91,"64,50",2015,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
582.0, 1609,KABUPATEN BERAU,12,833,79.58,78.75,75.15,80.28,"78,44",2015,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
583.0, 1610,KABUPATEN MAHAKAM ULU,2,41,58.49,60.29,54.33,82.8,"63,98",2015,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
584.0, 1610,KABUPATEN MAHAKAM ULU,2,41,83.93,84.27,83.28,85.44,"84,23",2015,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
283.0, 1601,KOTA SAMARINDA,53,6591,61.95,50.03,32.22,76.39,"55,15",2016,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
284.0, 1602,KOTA BALIKPAPAN,28,4285,65.67,58.43,38.26,77.64,"60,00",2016,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
285.0, 1603,KOTA BONTANG,13,1079,66.31,54.83,40.6,73.92,"58,92",2016,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
286.0, 1604,KABUPATEN KUTAI KARTANEGARA,39,3264,61.11,55.75,41.8,77.19,"58,96",2016,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
287.0, 1605,KABUPATEN KUTAI TIMUR,21,1545,63.07,56.64,49.78,76.56,"61,51",2016,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
288.0, 1606,KABUPATEN KUTAI BARAT,13,839,61.59,57.96,46.52,76.93,"60,75",2016,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
289.0, 1607,KABUPATEN PASER,12,1244,62.72,47.33,33.15,75.59,"54,70",2016,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
290.0, 1608,KABUPATEN PENAJAM PASER UTARA,9,892,60.37,45.99,31.83,77.46,"53,91",2016,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
291.0, 1609,KABUPATEN BERAU,14,747,57.66,45.42,28.63,77.36,"52,27",2016,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
292.0, 1610,KABUPATEN MAHAKAM ULU,2,48,63.04,54.38,63.96,84.0,"66,35",2016,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
283.0, 1601,KOTA SAMARINDA,52,6432,64.77,43.46,33.72,74.02,"53,99",2017,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
284.0, 1602,KOTA BALIKPAPAN,31,4250,68.33,49.95,39.83,74.75,"58,22",2017,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
285.0, 1603,KOTA BONTANG,13,1187,69.21,46.65,41.61,73.38,"57,71",2017,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
286.0, 1604,KABUPATEN KUTAI KARTANEGARA,37,3244,60.57,45.84,39.63,77.06,"55,78",2017,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
287.0, 1605,KABUPATEN KUTAI TIMUR,21,1592,63.0,40.45,36.46,73.86,"53,44",2017,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
288.0, 1606,KABUPATEN KUTAI BARAT,13,876,62.77,50.11,46.09,78.36,"59,33",2017,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
289.0, 1607,KABUPATEN PASER,12,1303,65.81,40.05,33.26,74.03,"53,29",2017,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
290.0, 1608,KABUPATEN PENAJAM PASER UTARA,9,943,66.68,40.51,37.63,74.49,"54,83",2017,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
291.0, 1609,KABUPATEN BERAU,14,856,58.7,36.44,26.37,77.38,"49,72",2017,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
292.0, 1610,KABUPATEN MAHAKAM ULU,2,57,69.16,59.47,64.48,86.66,"69,94",2017,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
283.0, 1601,KOTA SAMARINDA,52,7118,65.1,43.27,32.72,44.25,"46,34",2018,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
284.0, 1602,KOTA BALIKPAPAN,31,4831,68.15,50.45,35.52,45.56,"49,92",2018,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
285.0, 1603,KOTA BONTANG,13,1216,68.5,46.72,38.17,44.98,"49,59",2018,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
286.0, 1604,KABUPATEN KUTAI KARTANEGARA,40,3520,62.79,43.77,36.95,45.28,"47,20",2018,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
287.0, 1605,KABUPATEN KUTAI TIMUR,23,1757,65.77,41.88,34.56,38.39,"45,15",2018,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
288.0, 1606,KABUPATEN KUTAI BARAT,13,835,64.78,48.09,41.7,52.65,"51,81",2018,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
289.0, 1607,KABUPATEN PASER,12,1382,65.66,40.45,32.84,44.7,"45,91",2018,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
290.0, 1608,KABUPATEN PENAJAM PASER UTARA,9,965,66.64,39.32,34.53,40.22,"45,18",2018,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
291.0, 1609,KABUPATEN BERAU,14,947,61.87,38.3,29.53,41.78,"42,87",2018,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
292.0, 1610,KABUPATEN MAHAKAM ULU,2,63,77.23,58.64,63.25,52.86,"63,00",2018,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
283.0, 1601,KOTA SAMARINDA,53,6940,67.26,45.03,33.17,45.65,"47,78",2019,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
284.0, 1602,KOTA BALIKPAPAN,32,5058,70.33,50.44,35.9,47.26,"50,98",2019,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
285.0, 1603,KOTA BONTANG,13,1232,69.82,44.66,36.16,44.54,"48,80",2019,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
286.0, 1604,KABUPATEN KUTAI KARTANEGARA,43,3514,60.8,40.04,31.27,42.07,"43,55",2019,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
287.0, 1605,KABUPATEN KUTAI TIMUR,23,1863,61.82,42.39,32.81,45.53,"45,64",2019,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
288.0, 1606,KABUPATEN KUTAI BARAT,14,873,62.0,43.72,36.06,43.17,"46,24",2019,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
289.0, 1607,KABUPATEN PASER,12,1303,66.4,41.1,33.35,44.64,"46,37",2019,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
290.0, 1608,KABUPATEN PENAJAM PASER UTARA,10,1087,67.97,39.95,32.99,42.24,"45,79",2019,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
291.0, 1609,KABUPATEN BERAU,14,843,61.36,39.54,30.64,42.29,"43,46",2019,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
292.0, 1610,KABUPATEN MAHAKAM ULU,2,55,49.92,48.14,48.59,49.64,"49,07",2019,16,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KALIMANTAN TIMUR
585.0, 1701,KOTA MANADO,32,3335,54.46,49.28,34.62,74.66,"53,26",2015,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
586.0, 1701,KOTA MANADO,32,3335,86.56,85.75,85.48,86.17,"85,99",2015,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
587.0, 1702,KOTA BITUNG,13,1293,49.97,39.74,27.02,77.07,"48,45",2015,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
588.0, 1702,KOTA BITUNG,13,1293,87.26,86.86,86.59,87.44,"87,04",2015,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
589.0, 1703,KOTA TOMOHON,6,719,60.31,50.94,29.2,81.13,"55,40",2015,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
590.0, 1703,KOTA TOMOHON,6,719,89.52,89.96,88.51,90.23,"89,56",2015,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
591.0, 1704,KOTA KOTAMOBAGU,9,1554,72.48,66.22,69.88,77.77,"71,59",2015,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
592.0, 1704,KOTA KOTAMOBAGU,9,1554,84.25,82.43,80.58,84.47,"82,93",2015,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
593.0, 1705,KABUPATEN KEPULAUAN TALAUD,9,261,65.95,61.66,71.05,75.1,"68,44",2015,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
594.0, 1705,KABUPATEN KEPULAUAN TALAUD,9,261,80.07,78.76,77.71,81.7,"79,56",2015,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
595.0, 1706,KABUPATEN KEPULAUAN SANGIHE,8,608,66.73,61.89,50.68,79.78,"64,77",2015,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
596.0, 1706,KABUPATEN KEPULAUAN SANGIHE,8,608,85.35,83.45,83.44,84.03,"84,07",2015,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
597.0, 1707,KABUPATEN MINAHASA,16,1311,57.99,64.24,52.86,79.16,"63,56",2015,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
598.0, 1707,KABUPATEN MINAHASA,16,1311,88.11,86.54,85.61,88.92,"87,30",2015,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
599.0, 1708,KABUPATEN BOLAANG MONGONDOW,14,650,65.14,62.05,64.96,75.39,"66,89",2015,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
600.0, 1708,KABUPATEN BOLAANG MONGONDOW,14,650,83.68,82.71,82.63,84.62,"83,41",2015,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
601.0, 1709,KABUPATEN MINAHASA SELATAN,15,1124,57.2,51.79,42.98,76.6,"57,14",2015,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
602.0, 1709,KABUPATEN MINAHASA SELATAN,15,1124,89.46,88.98,88.76,89.79,"89,25",2015,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
603.0, 1710,KABUPATEN MINAHASA UTARA,9,863,59.6,57.8,47.66,75.92,"60,25",2015,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
604.0, 1710,KABUPATEN MINAHASA UTARA,9,863,84.83,83.86,83.8,86.34,"84,71",2015,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
605.0, 1711,KABUPATEN KEP. SITARO,6,425,71.55,66.09,66.33,78.07,"70,51",2015,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
606.0, 1711,KABUPATEN KEP. SITARO,6,425,83.83,81.07,80.07,84.24,"82,30",2015,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
607.0, 1712,KABUPATEN MINAHASA TENGGARA,5,419,64.42,57.33,61.89,80.6,"66,06",2015,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
608.0, 1712,KABUPATEN MINAHASA TENGGARA,5,419,87.36,87.87,85.86,87.86,"87,24",2015,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
609.0, 1713,KABUPATEN BOLMONG UTARA,2,168,67.68,66.24,46.27,76.41,"64,15",2015,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
610.0, 1713,KABUPATEN BOLMONG UTARA,2,168,83.91,82.14,82.76,85.23,"83,51",2015,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
611.0, 1714,KABUPATEN BOLMONG TIMUR,5,249,64.76,53.51,53.29,78.47,"62,51",2015,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
612.0, 1714,KABUPATEN BOLMONG TIMUR,5,249,84.28,83.96,82.99,85.3,"84,13",2015,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
613.0, 1715,KABUPATEN BOLMONG SELATAN,3,213,55.3,42.49,50.0,73.29,"55,27",2015,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
614.0, 1715,KABUPATEN BOLMONG SELATAN,3,213,79.38,80.22,78.3,80.46,"79,59",2015,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
293.0, 1701,KOTA MANADO,33,3066,53.03,47.16,28.33,70.04,"49,64",2016,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
294.0, 1702,KOTA BITUNG,13,1298,50.82,42.95,27.87,73.95,"48,90",2016,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
295.0, 1703,KOTA TOMOHON,7,710,60.0,58.34,33.63,77.07,"57,26",2016,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
296.0, 1704,KOTA KOTAMOBAGU,9,1528,54.98,47.82,33.89,72.81,"52,38",2016,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
297.0, 1705,KABUPATEN KEPULAUAN TALAUD,9,274,64.27,62.76,67.35,71.19,"66,39",2016,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
298.0, 1706,KABUPATEN KEPULAUAN SANGIHE,8,665,63.23,65.07,55.08,79.12,"65,63",2016,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
299.0, 1707,KABUPATEN MINAHASA,18,1317,50.84,53.35,32.94,73.95,"52,77",2016,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
300.0, 1708,KABUPATEN BOLAANG MONGONDOW,15,586,56.46,56.34,50.84,73.15,"59,20",2016,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
301.0, 1709,KABUPATEN MINAHASA SELATAN,17,1228,51.78,57.12,41.75,76.13,"56,70",2016,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
302.0, 1710,KABUPATEN MINAHASA UTARA,12,882,53.8,48.31,35.23,73.86,"52,80",2016,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
303.0, 1711,KABUPATEN KEP. SITARO,6,357,63.38,66.94,63.92,75.82,"67,52",2016,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
304.0, 1712,KABUPATEN MINAHASA TENGGARA,5,448,55.98,51.64,40.98,75.25,"55,96",2016,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
305.0, 1713,KABUPATEN BOLMONG UTARA,2,222,57.97,70.58,52.78,77.92,"64,81",2016,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
306.0, 1714,KABUPATEN BOLMONG TIMUR,7,329,58.14,51.3,46.38,79.36,"58,80",2016,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
307.0, 1715,KABUPATEN BOLMONG SELATAN,3,195,45.04,43.28,27.95,67.92,"46,05",2016,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
293.0, 1701,KOTA MANADO,34,3222,54.92,40.32,28.76,70.98,"48,75",2017,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
294.0, 1702,KOTA BITUNG,14,1364,54.1,39.13,29.63,68.24,"47,78",2017,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
295.0, 1703,KOTA TOMOHON,7,713,62.24,46.22,32.59,77.9,"54,74",2017,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
296.0, 1704,KOTA KOTAMOBAGU,9,1396,54.23,36.47,26.99,71.67,"47,34",2017,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
297.0, 1705,KABUPATEN KEPULAUAN TALAUD,9,241,61.05,57.58,58.43,71.62,"62,17",2017,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
298.0, 1706,KABUPATEN KEPULAUAN SANGIHE,8,675,63.68,56.31,56.58,77.62,"63,55",2017,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
299.0, 1707,KABUPATEN MINAHASA,18,1529,52.91,39.5,28.61,72.83,"48,46",2017,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
300.0, 1708,KABUPATEN BOLAANG MONGONDOW,14,555,54.2,44.37,36.75,65.71,"50,26",2017,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
301.0, 1709,KABUPATEN MINAHASA SELATAN,18,1251,51.67,44.04,36.4,69.63,"50,44",2017,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
302.0, 1710,KABUPATEN MINAHASA UTARA,13,1090,54.49,40.01,28.89,62.89,"46,57",2017,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
303.0, 1711,KABUPATEN KEP. SITARO,6,322,60.52,47.98,45.7,72.61,"56,70",2017,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
304.0, 1712,KABUPATEN MINAHASA TENGGARA,5,552,54.68,38.9,31.49,55.39,"45,12",2017,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
305.0, 1713,KABUPATEN BOLMONG UTARA,4,260,50.8,45.07,24.31,70.18,"47,59",2017,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
306.0, 1714,KABUPATEN BOLMONG TIMUR,9,387,53.98,42.73,34.72,73.21,"51,16",2017,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
307.0, 1715,KABUPATEN BOLMONG SELATAN,4,237,48.15,32.3,24.51,66.32,"42,82",2017,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
293.0, 1701,KOTA MANADO,35,3184,54.45,36.91,28.63,37.16,"39,29",2018,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
294.0, 1702,KOTA BITUNG,14,1459,52.45,35.08,28.4,34.86,"37,70",2018,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
295.0, 1703,KOTA TOMOHON,7,845,60.9,44.95,31.08,41.37,"44,58",2018,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
296.0, 1704,KOTA KOTAMOBAGU,9,1546,55.99,35.02,28.01,34.6,"38,41",2018,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
297.0, 1705,KABUPATEN KEPULAUAN TALAUD,10,242,59.64,58.96,48.38,36.79,"50,94",2018,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
298.0, 1706,KABUPATEN KEPULAUAN SANGIHE,8,690,60.1,39.32,31.53,38.94,"42,47",2018,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
299.0, 1707,KABUPATEN MINAHASA,18,1444,55.03,37.59,28.61,37.59,"39,71",2018,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
300.0, 1708,KABUPATEN BOLAANG MONGONDOW,17,742,52.38,35.01,28.8,35.74,"37,98",2018,17,SULAWESI UTARA,SULAWESI UTARA,SULAWESI UTARA
